st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.007,0.482,20.464,0.064,4.037,42.791,21.327,17.277,11.467,7.221,0,0,2.091,0.011,0,0,2.054,0.01,0,0,1.059,0.007,0,0,0.841,0.007,0,0,0,0,0,0
0.006,0.486,9.105,0.064,4.054,33.248,6.698,4.909,5.587,3.842,0,0,0.679,0.008,0,0,0.657,0.004,0,0,0.654,0.005,0,0,0.444,0.005,0,0,0,0,0,0
0.005,0.464,9.18,0.064,3.929,30.902,9.695,7.892,7.265,4.424,0,0,1.092,0.008,0,0,0.943,0.005,0,0,0.862,0.006,0,0,0.568,0.006,0,0,0,0,0,0
0.006,0.512,5.766,0.067,4.408,20.135,1.805,1.443,1.574,1.415,0,0,0.404,0.007,0,0,0.389,0.003,0,0,0.251,0.003,0,0,0.222,0.004,0,0,0,0,0,0
0.006,0.475,32.624,0.067,4.026,86.584,23.872,19.29,39.987,25.159,0,0,1.564,0.012,0,0,1.524,0.009,0,0,2.227,0.014,0,0,1.42,0.013,0,0,0,0,0,0
0.006,0.532,18.892,0.067,4.493,49.71,26.736,21.353,21.96,14.457,0,0,1.705,0.013,0,0,1.425,0.009,0,0,1.861,0.01,0,0,1.496,0.01,0,0,0,0,0,0
0.006,0.43,2.337,0.065,3.602,18.421,1.075,0.913,2.378,1.542,0,0,0.256,0.005,0,0,0.208,0.002,0,0,0.481,0.004,0,0,0.384,0.004,0,0,0,0,0,0
0.006,0.503,20.065,0.068,4.461,59.348,14.945,12.21,13.53,10.03,0,0,1.926,0.008,0,0,1.688,0.008,0,0,1.516,0.01,0,0,1.148,0.01,0,0,0,0,0,0
0.005,0.479,27.199,0.067,3.642,97.014,31.759,24.1,58.591,35.83,0,0,2.12,0.014,0,0,1.675,0.011,0,0,3.667,0.015,0,0,2.012,0.015,0,0,0,0,0,0
0.006,0.451,10.422,0.065,3.936,45.335,4.915,4.015,16.237,10.232,0,0,0.596,0.008,0,0,0.517,0.004,0,0,1.431,0.008,0,0,0.959,0.008,0,0,0,0,0,0
0.006,0.492,31.413,0.066,3.991,85.877,74.862,61.778,42.376,30.048,0,0,5.329,0.018,0,0,4.681,0.014,0,0,2.909,0.014,0,0,2.134,0.014,0,0,0,0,0,0
0.006,0.518,23.248,0.067,4.428,52.745,25.552,21.62,10.921,8.112,0,0,2.405,0.013,0,0,2.105,0.009,0,0,0.995,0.008,0,0,0.889,0.008,0,0,0,0,0,0
0.006,0.487,19.498,0.075,4.016,64.879,26.471,19.999,40.444,23.884,0,0,1.662,0.011,0,0,1.348,0.008,0,0,2.272,0.011,0,0,1.477,0.011,0,0,0,0,0,0
0.005,0.452,5.148,0.065,3.947,24.69,6.682,5.847,6.45,4.541,0,0,0.84,0.008,0,0,0.95,0.005,0,0,0.883,0.006,0,0,0.616,0.007,0,0,0,0,0,0
0.006,0.473,15.251,0.066,4.007,29.245,13.073,10.366,5.331,3.413,0,0,1.36,0.01,0,0,1.388,0.007,0,0,0.779,0.005,0,0,0.447,0.005,0,0,0,0,0,0
0.003,0.483,16.497,0.065,3.979,78.779,11.741,8.455,23.721,16.352,0,0,1.155,0.01,0,0,0.712,0.007,0,0,1.362,0.01,0,0,0.968,0.011,0,0,0,0,0,0
0.006,0.532,13.146,0.065,4.477,62.699,5.834,4.374,21.894,14.287,0,0,0.715,0.009,0,0,0.552,0.006,0,0,1.528,0.01,0,0,1.051,0.01,0,0,0,0,0,0
0.006,0.465,10.458,0.068,3.988,41.135,6.653,4.911,7.583,5.284,0,0,0.578,0.008,0,0,0.516,0.004,0,0,0.598,0.006,0,0,0.481,0.006,0,0,0,0,0,0
0.006,0.503,14.357,0.067,4.363,32.39,20.441,17.093,7.581,4.074,0,0,1.658,0.009,0,0,1.818,0.008,0,0,0.762,0.006,0,0,0.401,0.006,0,0,0,0,0,0
0.006,0.515,16.195,0.067,4.448,50.118,17.393,14.133,15.84,9.84,0,0,1.976,0.011,0,0,1.708,0.008,0,0,1.288,0.008,0,0,1.037,0.008,0,0,0,0,0,0
0.006,0.502,13.898,0.067,4.454,60.021,5.994,4.499,12.755,9.403,0,0,0.576,0.009,0,0,0.459,0.005,0,0,0.862,0.008,0,0,0.745,0.009,0,0,0,0,0,0
0.005,0.485,12.283,0.067,4.383,45.627,7.499,5.876,8.628,6.504,0,0,0.735,0.01,0,0,0.705,0.006,0,0,0.872,0.007,0,0,0.643,0.008,0,0,0,0,0,0
0.006,0.51,41.276,0.067,4.365,59.049,91.158,73.825,19.407,11.533,0,0,4.892,0.018,0,0,4.236,0.018,0,0,1.319,0.011,0,0,0.837,0.01,0,0,0,0,0,0
0.006,0.485,36.454,0.066,4.017,80.637,56.155,44.201,22.613,15.123,0,0,2.973,0.017,0,0,2.519,0.014,0,0,1.652,0.011,0,0,0.957,0.011,0,0,0,0,0,0
0.006,0.477,12.935,0.065,3.946,44.481,11.35,9.047,18.038,9.308,0,0,0.924,0.01,0,0,0.762,0.007,0,0,1.73,0.009,0,0,0.765,0.008,0,0,0,0,0,0
0.005,0.483,32.049,0.067,3.597,60.905,39.523,29.957,22.857,13.736,0,0,2.455,0.013,0,0,1.65,0.01,0,0,1.402,0.01,0,0,0.909,0.01,0,0,0,0,0,0
0.007,0.478,31.893,0.066,4.012,91.865,24.492,18.8,23.195,17.655,0,0,2.28,0.014,0,0,1.539,0.011,0,0,1.331,0.011,0,0,1.071,0.012,0,0,0,0,0,0
0.006,0.49,14.869,0.065,4.011,31.377,30.321,25.922,13.198,8.278,0,0,3.205,0.014,0,0,3.55,0.011,0,0,2.059,0.008,0,0,1.085,0.008,0,0,0,0,0,0
0.006,0.509,7.249,0.065,4.388,26.169,4.29,3.663,6.073,4.178,0,0,0.64,0.008,0,0,0.668,0.005,0,0,0.908,0.007,0,0,0.622,0.007,0,0,0,0,0,0
0.006,0.599,39.206,0.066,5.271,40.919,308.758,269.628,14.627,8.737,0,0,17.002,0.029,0,0,15.189,0.028,0,0,1.169,0.007,0,0,0.761,0.007,0,0,0,0,0,0
0.005,0.517,5.592,0.066,4.438,20.438,5.294,3.954,8.158,4.224,0,0,0.838,0.009,0,0,0.849,0.005,0,0,1.095,0.007,0,0,0.762,0.006,0,0,0,0,0,0
0.006,0.509,20.213,0.065,4.476,41.919,23.63,17.529,10.93,6.865,0,0,2.23,0.014,0,0,1.413,0.01,0,0,0.921,0.007,0,0,0.616,0.007,0,0,0,0,0,0
0.007,0.519,40.81,0.066,4.496,53.083,62.484,48.012,15.48,10.613,0,0,4.026,0.019,0,0,3.245,0.016,0,0,1.557,0.01,0,0,1.034,0.01,0,0,0,0,0,0
0.006,0.512,12.555,0.066,4.405,47.319,11.247,8.702,14.921,10.462,0,0,1.021,0.007,0,0,1.004,0.006,0,0,1.422,0.008,0,0,1.092,0.009,0,0,0,0,0,0
