st_lp,st_tc,st_ic,bm_lp,bm_tc,bm_ic,st_th_cg,st_it_cg,bm_th_cg,bm_it_cg,st_th_GA+KL_cl,st_th_GA+KL_el,st_th_MWS_cl,st_th_MWS_el,st_it_GA+KL_cl,st_it_GA+KL_el,st_it_MWS_cl,st_it_MWS_el,bm_th_GA+KL_cl,bm_th_GA+KL_el,bm_th_MWS_cl,bm_th_MWS_el,bm_it_GA+KL_cl,bm_it_GA+KL_el,bm_it_MWS_cl,bm_it_MWS_el,bm_it_GA_cl,bm_it_GA_el,bm_it_KL_cl,bm_it_KL_el,bm_it_MWS+KL_cl,bm_it_MWS+KL_el
0.008,0.759,37.49,0.068,7.121,227.339,25.21,17.508,79.439,55.084,0,0,1.333,0.018,0,0,1.002,0.018,0,0,2.954,0.027,0,0,2.076,0.026,0,0,0,0,0,0
0.008,0.741,21.272,0.066,7.087,161.002,12.146,8.259,54.075,36.833,0,0,1.159,0.014,0,0,0.794,0.013,0,0,2.99,0.023,0,0,2.094,0.023,0,0,0,0,0,0
0.008,0.73,10.125,0.069,7.187,99.574,6.557,4.968,34.33,22.366,0,0,0.622,0.008,0,0,0.58,0.009,0,0,1.801,0.017,0,0,1.32,0.016,0,0,0,0,0,0
0.008,0.735,12.094,0.066,7.204,131.792,5.931,4.304,27.426,19.481,0,0,0.736,0.01,0,0,0.58,0.011,0,0,1.225,0.016,0,0,0.923,0.016,0,0,0,0,0,0
0.007,0.774,13.112,0.067,7.099,78.756,14.786,11.245,26.413,17.048,0,0,1.544,0.011,0,0,1.296,0.011,0,0,1.832,0.016,0,0,1.22,0.016,0,0,0,0,0,0
0.007,0.735,4.93,0.069,7.187,52.125,2.67,1.62,25.047,14.809,0,0,0.488,0.008,0,0,0.326,0.007,0,0,1.997,0.017,0,0,1.597,0.016,0,0,0,0,0,0
0.007,0.739,20.995,0.066,7.001,101.901,32.732,25.19,46.141,30.828,0,0,2.344,0.016,0,0,1.894,0.016,0,0,3.266,0.021,0,0,1.882,0.021,0,0,0,0,0,0
0.008,0.752,16.948,0.068,7.081,123.859,19.521,13.958,108.059,60.705,0,0,1.761,0.017,0,0,1.306,0.017,0,0,5.822,0.031,0,0,3.132,0.029,0,0,0,0,0,0
0.008,0.734,18.875,0.068,7.052,116.451,48.283,22.79,113.685,76.185,0,0,3.548,0.016,0,0,1.787,0.015,0,0,5.409,0.028,0,0,3.857,0.029,0,0,0,0,0,0
0.008,0.741,19.226,0.067,7.084,114.623,25.392,18.707,64.517,40.511,0,0,2.399,0.018,0,0,1.845,0.016,0,0,3.285,0.024,0,0,2.677,0.024,0,0,0,0,0,0
0.007,0.73,15.784,0.066,6.999,92.88,32.907,24.292,77.927,49.064,0,0,2.637,0.014,0,0,1.715,0.016,0,0,4.685,0.027,0,0,3.191,0.026,0,0,0,0,0,0
0.008,0.737,18.56,0.07,7.103,97.897,20.189,15.768,90.601,52.248,0,0,1.416,0.016,0,0,1.767,0.016,0,0,5.138,0.029,0,0,3.233,0.027,0,0,0,0,0,0
0.008,0.723,10.475,0.069,7.093,68.535,12.235,9.361,64.359,37.547,0,0,1.295,0.014,0,0,1.391,0.013,0,0,4.497,0.025,0,0,3.03,0.023,0,0,0,0,0,0
0.016,0.767,76.78,0.067,7.107,267.497,145.468,112.946,160.854,112.339,0,0,6.31,0.032,0,0,6.039,0.032,0,0,5.685,0.032,0,0,4.6,0.038,0,0,0,0,0,0
0.008,0.723,22.313,0.066,7.087,170.861,13.297,9.536,60.85,40.241,0,0,1.317,0.014,0,0,0.998,0.013,0,0,3.405,0.025,0,0,2.428,0.024,0,0,0,0,0,0
0.008,0.755,19.693,0.067,7.028,121.373,19.623,14.504,65.905,40.025,0,0,2.028,0.016,0,0,1.577,0.016,0,0,2.937,0.026,0,0,2.019,0.025,0,0,0,0,0,0
0.008,0.748,24.012,0.069,7.229,148.281,26.316,19.865,117.74,70.551,0,0,1.961,0.016,0,0,1.279,0.014,0,0,5.692,0.029,0,0,3.335,0.029,0,0,0,0,0,0
0.005,0.746,13.902,0.067,7.103,97.331,11.191,8.254,73.753,44.612,0,0,1.092,0.011,0,0,1.067,0.011,0,0,4.596,0.023,0,0,3.028,0.022,0,0,0,0,0,0
0.005,0.757,27.815,0.067,7.155,153.838,42.103,31.702,128.87,80.403,0,0,2.439,0.016,0,0,2.006,0.015,0,0,5.196,0.027,0,0,3.551,0.029,0,0,0,0,0,0
0.008,0.759,33.411,0.067,7.147,245.664,23.671,18.572,119.024,77.715,0,0,1.221,0.013,0,0,1.027,0.014,0,0,4.359,0.029,0,0,2.946,0.03,0,0,0,0,0,0
0.008,0.769,39.018,0.069,7.158,172.796,42.871,31.784,71.397,48.87,0,0,2.966,0.021,0,0,2.37,0.021,0,0,2.657,0.026,0,0,1.894,0.025,0,0,0,0,0,0
0.008,0.798,62.247,0.07,7.179,227.434,68.923,48.971,124.194,86.649,0,0,4.585,0.027,0,0,2.813,0.027,0,0,5.738,0.034,0,0,3.338,0.035,0,0,0,0,0,0
0.008,0.745,18.47,0.071,7.239,174.386,5.873,3.792,56.525,40.41,0,0,0.7,0.011,0,0,0.456,0.01,0,0,3.196,0.022,0,0,2.364,0.023,0,0,0,0,0,0
